company,title,date,status,link,source
恒风集团,义乌市恒风汽车综合性能检测有限公司后宅站物业服务采购项目中标候选人公示,2026-03-12,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002004/20260312/a658f76b-ed5c-4424-bb07-c8d39d099f23.html,enterprise_purchase
恒风集团,义乌市恒风汽车综合性能检测有限公司后宅站物业服务采购项目中标(成交)结果公告,2026-03-12,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002005/20260312/37b2e57d-c125-44c2-8ea9-fa816fc06af7.html,enterprise_purchase
商城集团,浙江中国小商品城集团股份有限公司银都雅悦酒店食材配送框架协议采购项目入围公告（标段三）（顺延）,2026-03-12,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001005/20260312/6e11ff94-7773-42ea-bdcb-8b99c67aea69.html,enterprise_purchase
恒风集团,义乌市恒风长途客运有限公司6辆柴油营运客车采购项目废标公告,2026-03-12,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001006/20260312/ff7d15b1-7c3d-46e9-b27c-d5bf6183a224.html,enterprise_purchase
水务集团,浙江义乌市自来水有限公司 2026年大口径无线远传水表采购（第二次重新招标）中标候选人公示,2026-03-12,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001004/20260313/f6698d86-fb77-4093-8ccb-387b39cb75d1.html,enterprise_purchase
资环集团,义乌市资源循环集团有限公司监控网络与平台支撑服务采购项目中标候选人公示,2026-03-11,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002004/20260311/2c93c85e-70d5-4ddf-a3e6-1375a7747895.html,enterprise_purchase
商城集团,浙江中国小商品城集团股份有限公司银都酒店厨房劳务外包服务采购项目招标公告,2026-03-11,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260311/cb997ee8-9628-4cba-acef-55643f8169f7.html,enterprise_purchase
商城集团,浙江中国小商品城集团股份有限公司海洋酒店（西厨）厨具采购项目招标公告,2026-03-11,,https://yiwuygzc.etrading.cn/jyxx/002001/002001001/002001001001/20260311/de8b44e7-9f71-4246-83cf-fd87fa86bbce.html,enterprise_purchase
交旅集团,义乌市交通旅游产业发展集团有限公司小型项目招标代理及造价咨询服务（单个项目服务费50万元及以下）采购项目单一来源采购公示,2026-03-11,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260311/92a5ed82-544e-4aed-8381-1de28d62707d.html,enterprise_purchase
恒风集团,浙江恒风集团有限公司办公用房物业管理服务采购项目单一来源采购公示,2026-03-11,,https://yiwuygzc.etrading.cn/jyxx/002001/002001002/002001002001/20260311/385d8f8b-618b-4b09-be7c-641adad73ca8.html,enterprise_purchase
